menuId;dietSelection(0-Normal,1-Vegetarian,2-Vegan);nutritionalDisease(0-Normal,1-Diabetes,2-Celiac,3-Reflux);caloryValue;proteinValue;carbonhydratValue;fatValue;menuContents
1;0;0;1600;100;60;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato,Cucumber,Lunch,Salad with tuna,1 cup buttermilk,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,1 bown of yogurt,Non-fat Salad
2;0;0;1600;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,Omelet with 1 egg,Tomato,Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,1 bowl of yogurt,Snack,1 banana,Dinner,1 serving of chicken grill,Non-fat Salad
3;0;0;1600;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpea dish,Non-fat Salad
4;0;0;1600;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 serving eggplant dish,1 bown of yogurt,Snack,1 orange,1 cup of coffee,Dinner,1 serving of chickpeas dish,Non-fat Salad
5;0;0;1600;150;80;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato,Cucumber,Snack,1 orange,1 cup of coffee,Lunch,1 serving of grilled meat,Non-fat Salad,1 glass of buttermilk,Snack,15 nuts,10 almonds,Dinner,Non-fat Salad,1 bowl of yogurt
6;0;0;1600;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato,Cucumber,Lunch,1 serving of okra dish,1 bowl of yogurt,Snack,1 peach,Dinner,1 serving boiled chicken,1 bown of yogurt,Non-fat Salad
7;0;0;1600;170;40;70;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,1 boiled egg,Tomato,Cucumber,Snack,10 almonds,1 cup of coffee,Lunch,1 serving of mixed vegetable dish,1 bowl of yogurt,Snack,1 banana,1 cup of milk,Dinner,1 serving of chicken grill,Non-fat Salad
8;0;0;1600;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,Snack,1 cup of coffee,Lunch,1 bowl of lentil soup,1 serving grilled chicken with vegetables dish,1 bown of yogurt,Snack,2 mandarins,Dinner,Non-fat Salad,1 bowl of yogurt
9;0;0;1600;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpeas dish,Non-fat Salad
10;0;0;1600;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato, Cucumber,Snack,1 pear,1 cup of coffee,Lunch,1 serving of celery dish,Non-fat Salad,1 glass of buttermilk,Snack,15 nuts, 10 almonds,Dinner,1 serving of haricot bean dish,Non-fat Salad
11;0;0;1700;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of low-fat white cheese,1 slice of bran bread,Snack,1 cup of milk,Lunch,1 bowl of barley noodle soup,4 meatballs,Non-fat Salad,Snack,20 cherries,Dinner,1 serving leek dish,Non-fat Salad,1 bowl of yogurt
12;0;0;1700;150;80;50;Breakfast,1 cup of tea,Omelet with 1 egg,1 slice of bran bread,Snack,1 cup of coffee,Lunch,1 bowl of lentil soup,1 serving artichoke dish,Non-fat Salad,Snack,15 peanuts,10 hazelnuts,Dinner,1 serving of fish grill,Non-fat Salad
13;0;0;1700;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,1 cup of coffee,Lunch,1 serving pumpkin dish,1 bown of yogurt,Snack,10 plums,Dinner,1 serving okra dish,Non-fat Salad,1 bowl of yogurt
14;0;0;1700;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 bowl of barley noodle soup,4 meatballs,Non-fat Salad,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,1 bown of yogurt,Non-fat Salad
15;0;0;1700;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,Omelet with 1 egg,Tomato, Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,Non-fat Salad,Snack,1 banana,Dinner,1 serving of fish grill,Non-fat Salad
